symbol,name,market
000100,유한양행,ALL
000150,두산,ALL
000270,기아,ALL
000545,흥국화재2우B,ALL
000970,한국주철관,ALL
001040,CJ,ALL
002800,신신제약,ALL
003230,삼양식품,ALL
003780,진양산업,ALL
004020,현대제철,ALL
004980,성신양회,ALL
005930,삼성전자,ALL
006220,제주은행,ALL
006260,LS,ALL
006800,미래에셋증권,ALL
007110,일신석재,ALL
007390,네이처셀,ALL
008970,동양철관,ALL
009830,한화솔루션,ALL
010130,고려아연,ALL
011070,LG이노텍,ALL
012510,더존비즈온,ALL
013580,계룡건설,ALL
014160,부산가스,ALL
015760,한국전력,ALL
016360,삼성증권,ALL
018260,삼성에스디에스,ALL
020180,삼성바이오에피스,ALL
028050,삼성엔지니어링,ALL
028300,HLB,ALL
030530,호전실업,ALL
032640,LG유플러스,ALL
034730,SK,ALL
035420,NAVER,ALL
035900,JYP Ent.,ALL
038460,바이오솔루션,ALL
039240,경남에너지,ALL
039610,화성산업,ALL
041510,SM,ALL
042940,삼현철강,ALL
051900,LG생활건강,ALL
052400,코나아이,ALL
053800,안랩,ALL
058470,리노공업,ALL
058820,CMG제약,ALL
064400,제이앤티씨,ALL
065370,HHR,ALL
071090,하이스틸,ALL
079550,LIG넥스원,ALL
082270,젬백스,ALL
083420,KH바텍,ALL
083650,비에이치,ALL
086280,현대글로비스,ALL
086790,하나금융지주,ALL
096250,S-Oil,ALL
099220,SDN,ALL
103590,COWON,ALL
122870,와이지엔터테인먼트,ALL
128940,한미약품,ALL
139480,이마트,ALL
145020,휴젤,ALL
173130,오파스넷,ALL
192820,코스맥스,ALL
196170,알테오젠,ALL
207760,미스터블루,ALL
208370,셀바스AI,ALL
214450,파마리서치,ALL
267260,HD현대일렉트릭,ALL
267320,나인테크,ALL
271560,오리온,ALL
277810,레인보우로보틱스,ALL
285490,노바렉스,ALL
289010,이엔에프테크놀로지,ALL
295310,엘리앤컴퍼니,ALL
317770,슈프리마아이디,ALL
331740,SK오션플랜트,ALL
347850,피앤이솔루션,ALL
348370,엔켐,ALL
355390,비츠로셀,ALL
373160,MEGA DR,ALL
376300,HLB테라퓨틱스,ALL
376900,모트렉스,ALL
394800,제이앤피코스메틱,ALL
403490,에코앤드림,ALL
403850,다원시스,ALL
411080,디아이동일,ALL
417180,파인메딕스,ALL
437730,알멕,ALL
439260,쏘카,ALL
444530,로봇앤더,ALL
456070,누비스,ALL
456160,코스메카코리아,ALL
458870,피에이치에이,ALL
459510,에이비온,ALL
460870,동방선기,ALL
460940,카카오게임즈,ALL
462860,에이에스텍,ALL
466100,지오엘리먼트,ALL
483650,한국피아이엠,ALL
484590,아이피에스,ALL
486990,에스앤디,ALL
